"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"NAR2019","M06-2X",-2,FALSE,3.8108,0.16,3.6425,0.17,3.4561,0.2,0,1.9,1.242,0.42,7.1166,2.7,-0.20508,0.18,9.5786,0.44,0.45578,0.015,0.76125,0.027,0.33395,0.012
"NAR2019","wB97X-D",-2,FALSE,1.9402,0.099,1.0333,0.13,2.654,0.25,0,0.56,2.13,0.93,17.66,7.7,0.53333,0.23,5.6018,0.39,0.48254,0.017,0.93236,0.034,0.34437,0.013
"PER2018","B3LYP",-2,FALSE,0.90053,0.083,0.2689,0.1,1.5103,0.12,0,0.11,1.614,0.3,7.2574,1.1,4.9254,0.96,3.935,0.49,0.61378,0.017,0.99191,0.033,0.46759,0.018
"PER2018","B97-1",-2,FALSE,0.73212,0.054,-0.33251,0.069,1.0514,0.082,0,0.12,0.25805,0.39,6.6806,0.75,3.475,0.72,2.6903,0.25,0.54725,0.018,0.95049,0.044,0.40239,0.017
"PER2018","BH&HLYP",-2,FALSE,2.5644,0.19,1.7723,0.23,3.4953,0.24,0,0.35,1.3889,0.25,5.6335,1.1,0.60202,0.48,8.725,0.61,0.56114,0.018,0.94883,0.039,0.42558,0.017
"PER2018","BLYP",-2,FALSE,1.6351,0.12,-1.1685,0.14,2.2323,0.17,0,0.45,-1.2904,0.27,6.5931,0.87,3.4699,0.78,6.1218,0.8,0.55467,0.02,0.97604,0.038,0.40886,0.018
"PER2018","CAM-B3LYP",-2,FALSE,0.90398,0.091,0.5498,0.1,1.5431,0.12,0,0.067,1.7781,0.26,6.611,1.1,5.1012,1.3,4.1318,0.37,0.66299,0.015,0.99229,0.042,0.5301,0.017
"PER2018","LC-ωPBE",-2,FALSE,1.0392,0.09,0.46393,0.11,1.6697,0.14,0,0.13,1.7247,0.35,8.0118,1.8,2.8174,0.82,4.1147,0.48,0.60233,0.02,0.98392,0.037,0.456,0.019
"PER2018","PBE",-2,FALSE,1.9754,0.14,-1.2591,0.17,2.6678,0.2,0,0.45,-1.335,0.23,6.041,0.86,1.9695,0.52,6.7914,0.83,0.53174,0.021,0.92069,0.041,0.38947,0.018
"PER2018","PBE0",-2,FALSE,0.92312,0.074,0.24639,0.096,1.442,0.12,0,0.16,1.7744,0.21,7.1871,1,2.994,0.86,3.2768,0.5,0.56752,0.021,0.90517,0.035,0.42326,0.019
"PER2018","PW86PBE",-2,FALSE,1.8592,0.14,-1.3722,0.16,2.4625,0.2,0,0.46,-1.4858,0.27,7.0637,1.1,2.6844,0.59,6.7482,1,0.53565,0.021,0.9748,0.049,0.38452,0.019
